Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
08/25/2014,140216421,08/23/2014,0600,02,Rampart,0204,480,BIKE - STOLEN,IC,Invest Cont,  400      N  HOOVER                       ST,,"(34.0779, -118.2844)"
08/23/2014,140413279,08/23/2014,1300,04,Hollenbeck,0464,480,BIKE - STOLEN,IC,Invest Cont,              CESAR E CHAVEZ               AV,   CHICAGO,"(34.0483, -118.2111)"
03/02/2014,141706684,02/28/2014,1200,17,Devonshire,1781,480,BIKE - STOLEN,IC,Invest Cont, 9100         DE SOTO                      AV,,"(34.2355, -118.5885)"
08/22/2014,140119630,08/22/2014,1200,01,Central,0152,480,BIKE - STOLEN,IC,Invest Cont,  500      W  6TH                          ST,,"(34.0481, -118.2542)"
08/25/2014,140119820,08/22/2014,1200,01,Central,0182,480,BIKE - STOLEN,IC,Invest Cont, 1100      S  GRAND                        AV,,"(34.0416, -118.262)"
04/29/2014,140111547,02/27/2014,1200,01,Central,0128,480,BIKE - STOLEN,IC,Invest Cont,  300      E  2ND                          ST,,"(34.0493, -118.2418)"
02/28/2014,141207571,02/27/2014,2100,12,77th Street,1255,480,BIKE - STOLEN,IC,Invest Cont, 7800      S  NORMANDIE                    AV,,"(33.9692, -118.3003)"
08/21/2014,140413213,08/21/2014,1745,04,Hollenbeck,0463,480,BIKE - STOLEN,IC,Invest Cont,              CESAR E CHAVEZ               AV,   SOTO                         ST,"(34.05, -118.2149)"
08/21/2014,140915055,08/21/2014,0900,09,Van Nuys,0915,480,BIKE - STOLEN,IC,Invest Cont, 6800         VAN NUYS                     BL,,"(34.1939, -118.4487)"
08/21/2014,141115402,08/21/2014,0600,11,Northeast,1151,480,BIKE - STOLEN,IC,Invest Cont,              VERMONT,   HOLLYWOOD,"(34.1012, -118.2918)"
03/05/2014,140207330,02/26/2014,0700,02,Rampart,0241,480,BIKE - STOLEN,IC,Invest Cont,  400      S  OCCIDENTAL                   BL,,"(34.0665, -118.2828)"
08/22/2014,141115448,08/21/2014,2000,11,Northeast,1118,480,BIKE - STOLEN,IC,Invest Cont,  300      N  AVENUE 57,,"(34.1127, -118.1942)"
08/21/2014,141714008,08/21/2014,0200,17,Devonshire,1785,480,BIKE - STOLEN,IC,Invest Cont,18400         PRAIRIE                      ST,,"(34.2391, -118.5338)"
08/21/2014,140119543,08/20/2014,2300,01,Central,0171,480,BIKE - STOLEN,IC,Invest Cont,  800      W  OLYMPIC                      BL,,"(34.045, -118.264)"
02/27/2014,141706546,02/26/2014,0940,17,Devonshire,1764,480,BIKE - STOLEN,IC,Invest Cont, 9300         TAMPA                        AV,,"(34.234, -118.5536)"
08/20/2014,141612653,08/20/2014,1715,16,Foothill,1687,480,BIKE - STOLEN,IC,Invest Cont, 7900         VINELAND                     AV,,"(34.2139, -118.3703)"
08/22/2014,141714071,08/20/2014,1900,17,Devonshire,1749,480,BIKE - STOLEN,IC,Invest Cont,15700         DEVONSHIRE                   ST,,"(34.2574, -118.4739)"
02/25/2014,140307090,02/24/2014,0945,03,Southwest,0308,480,BIKE - STOLEN,IC,Invest Cont, 2300      S  UNION                        AV,,"(34.035, -118.2834)"
